key,article_id,data_inizio_validita,data_fine_validita,price_before,price_in_period,delta_price,qty_pre,qty_in_period,sales_ht_pre,sales_pre,sales_ht_in_period,sales_in_period,cifra_ssp_pre,cifra_ssp_in_period,sconto_a_valore_in_period,margine_pp_valore_pre,margine_pp_valore_in_period,giorni_nel_periodo,delta_margine_pp_valore,qty_n_1,vendite_n_1,vendite_ht_n_1,margine_valore_n_1,gg_copertura,gg_copertura_n_1
80444671-2025-09-27,80444671,2025-09-27,,265.9,213.79,-52.11,53.0,64.0,11289.3737,13773.0359,10892.3179,13288.6278,14092.7,13682.56,-393.9322,2561.3257,345.953,269.0,-2215.3726,73.0,18220.617,14934.932,3791.7368,,
82396709-2026-03-10,82396709,2026-03-10,2026-05-30,26.9,26.09,-0.81,6.0,10.0,131.7325,160.7137,211.1233,257.5704,161.4,260.9,-3.3296,37.2474,60.7971,81.0,23.5497,6.0,163.5451,134.0533,34.9516,139.1823,108.6667
89734836-2026-03-27,89734836,2026-03-27,2026-08-10,120.49,142.49,22.0,1051.0,1146.0,100470.2544,122573.7104,125752.7959,153418.4111,126634.99,163293.54,-9875.1289,23714.8622,39755.6752,136.0,16040.813,1057.0,101638.1053,83309.9224,23196.5678,295.9012,221.1748
87886929-2025-10-03,87886929,2025-10-03,,106.0,83.89,-22.11,649.0,482.0,54514.0046,66507.0856,32876.8918,40109.808,68794.0,40434.98,-325.172,28560.7121,13471.3985,263.0,-15089.3136,815.0,86397.8967,70817.9481,8176.8552,46.5506,42.4397
83287626-2025-09-20,83287626,2025-09-20,,62.99,59.59,-3.4,3.0,2.0,153.5612,187.3446,96.5914,117.8415,188.97,119.18,-1.3385,54.7398,27.9972,276.0,-26.7426,4.0,226.4922,185.6493,9.1902,,
87220444-2025-11-15,87220444,2025-11-15,,8.49,7.39,-1.1,127.0,158.0,862.4846,1052.2312,940.1237,1146.9509,1078.23,1167.62,-20.6691,303.0329,227.6486,220.0,-75.3843,165.0,1394.0822,1142.6903,235.6353,108.3137,112.9138
84928953-2026-04-01,84928953,2026-04-01,2026-09-11,144.9,162.19,17.29,8.0,10.0,940.2932,1147.1577,1329.4262,1621.9,1159.2,1621.9,0.0,312.8966,547.8888,163.0,234.9922,11.0,1657.0251,1358.2173,225.7963,65.4762,
80457779-2025-10-10,80457779,2025-10-10,,91.9,93.79,1.89,47.0,41.0,3492.5992,4260.971,3151.959,3845.39,4319.3,3845.39,0.0,1405.7235,1457.846,256.0,52.1224,25.0,2067.7038,1694.8392,392.013,99.7595,136.9966
81104354-2026-04-13,81104354,2026-04-13,,89.99,97.89,7.9,301.0,146.0,22145.1405,27017.0714,11683.4468,14253.8051,27086.99,14291.94,-38.1349,3674.6917,2056.7047,71.0,-1617.987,249.0,21807.7642,17875.2165,9661.4782,44.1644,38.869
83294568-2025-07-15,83294568,2025-07-15,2025-10-30,46.49,42.59,-3.9,76.0,99.0,2864.4515,3494.6309,3354.5121,4092.5048,3533.24,4216.41,-123.9052,886.0033,655.4733,107.0,-230.53,59.0,2601.8205,2132.6398,582.8706,429.8437,
88003916-2026-02-07,88003916,2026-02-07,,149.99,135.29,-14.7,15.0,16.0,1801.8222,2198.2231,1774.2951,2164.64,2249.85,2164.64,0.0,513.357,348.0607,136.0,-165.2964,16.0,2349.541,1925.8533,419.0206,,
